Timestamp;cpu.wait_perc;predict
1474387381.0;13.4;0.0
1474387411.0;16.6;13.6723947525
1474387441.0;13.8;14.8240365982
1474387471.0;12.7;13.8482923508
1474387500.0;14.6;13.3418140411
1474387531.0;14.9;14.1717166901
1474387561.0;14.6;14.2834157944
1474387591.0;14.3;14.1717166901
1474387621.0;15.0;14.0548305511
1474387651.0;13.4;14.3195123672
1474387681.0;11.7;13.6723947525
1474387711.0;14.1;12.8211994171
1474387741.0;13.2;13.9739847183
1474387771.0;11.6;13.5808849335
1474387801.0;11.1;12.766207695
1474387831.0;12.4;12.4839782715
1474387861.0;13.2;13.1914319992
1474387891.0;16.1;13.5808849335
1474387921.0;16.3;14.6805591583
1474387951.0;16.1;14.7394237518
1474387981.0;14.8;14.6805591583
1474388011.0;12.5;14.2467536926
1474388041.0;15.0;13.2421283722
1474388071.0;12.5;14.3195123672
1474388101.0;12.0;13.2421283722
